"","Variable Name","Data Type","Rows","Example","Percent Missing","Description"
"1","adverts","character",10,"179.061",0,""
"2","sales","character",10,"70",0,""
"3","airplay","character",10,"19",0,""
"4","attract","character",10,"1",0,""
