"","Variable Name","Data Type","Rows","Example","Percent Missing","Description"
"1","adverts","character",10,"500.922",0,""
"2","sales","character",10,"260",0,""
"3","airplay","character",10,"36",0,""
"4","attract","character",10,"8",0,""
